codigo;titulo;metrica;cliente;porte;origem;regiao;modalidade;periodicidade;unidade;frente;parse_status
20539;Saldo da carteira de crédito - Total;SALDO;;;;;;MENSAL;Unidades monetárias correntes;Saldo da carteira de crédito;OK
20540;Saldo da carteira de crédito - Pessoas jurídicas - Total;SALDO;PJ;;;;;MENSAL;Milhões de reais;Saldo da carteira de crédito;OK
20541;Saldo da carteira de crédito - Pessoas físicas - Total;SALDO;PF;;;;;MENSAL;Milhões de reais;Saldo da carteira de crédito;OK
20542;Saldo da carteira de crédito com recursos livres - Total;SALDO;;;LIVRE;;;MENSAL;Milhões de reais;Saldo da carteira de crédito;OK
20543;Saldo da carteira de crédito com recursos livres - Pessoas jurídicas - Total;SALDO;PJ;;LIVRE;;;MENSAL;Milhões de reais;Saldo da carteira de crédito;OK
20544;Saldo da carteira de crédito com recursos livres - Pessoas jurídicas - Desconto de duplicatas e recebíveis;SALDO;PJ;;LIVRE;;Desconto de duplicatas e recebíveis;MENSAL;Milhões de reais;Saldo da carteira de crédito;OK
20545;Saldo da carteira de crédito com recursos livres - Pessoas jurídicas - Desconto de cheques;SALDO;PJ;;LIVRE;;Desconto de cheques;MENSAL;Milhões de reais;Saldo da carteira de crédito;OK
20546;Saldo da carteira de crédito com recursos livres - Pessoas jurídicas - Antecipação de faturas de cartão de crédito;SALDO;PJ;;LIVRE;;Antecipação de faturas de cartão de crédito;MENSAL;Milhões de reais;Saldo da carteira de crédito;OK
20547;Saldo da carteira de crédito com recursos livres - Pessoas jurídicas - Capital de giro com prazo de até 365 dias;SALDO;PJ;;LIVRE;;Capital de giro com prazo de até 365 dias;MENSAL;Milhões de reais;Saldo da carteira de crédito;OK
20548;Saldo da carteira de crédito com recursos livres - Pessoas jurídicas - Capital de giro com prazo superior a 365 dias;SALDO;PJ;;LIVRE;;Capital de giro com prazo superior a 365 dias;MENSAL;Milhões de reais;Saldo da carteira de crédito;OK
20549;Saldo da carteira de crédito com recursos livres - Pessoas jurídicas - Capital de giro rotativo;SALDO;PJ;;LIVRE;;Capital de giro rotativo;MENSAL;Milhões de reais;Saldo da carteira de crédito;OK
20550;Saldo da carteira de crédito com recursos livres - Pessoas jurídicas - Capital de giro total;SALDO;PJ;;LIVRE;;Capital de giro total;MENSAL;Milhões de reais;Saldo da carteira de crédito;OK
20551;Saldo da carteira de crédito com recursos livres - Pessoas jurídicas - Conta garantida;SALDO;PJ;;LIVRE;;Conta garantida;MENSAL;Milhões de reais;Saldo da carteira de crédito;OK
20552;Saldo da carteira de crédito com recursos livres - Pessoas jurídicas - Cheque especial;SALDO;PJ;;LIVRE;;Cheque especial;MENSAL;Milhões de reais;Saldo da carteira de crédito;OK
